Movie ID,Title,Genre,Director,Cast,Release Date,Budget (in millions),Runtime (in minutes),Box Office Revenue (in millions)
1,Kabaddi 4: The Final Match,Romantic/Comedy,Ram Babu Gurung,"Dayahang  Rai, Saugat Malla ",2022-05-27,0.228,137,1.78
2,Chhakka Panja ,Comedy,Deepa Shree Niraula,"Deepak Raj Giri, Kedar Ghimire",2016-09-09,0.0679,139,1.32
3,Chhakka Panja 2,Comedy,Deepa Shree Niraula,"Deepak Raj Giri, Kedar Ghimire",2017-08-27,0.0797,135,1.15
4,Chhakka Panja 3,Comedy,Deepa Shree Niraula,"Deepak Raj Giri, Kedar Ghimire",2018-10-01,0.16,145,1.62
5,Chhakka Panja 4,Comedy,Hem Raj BC,"Deepak Raj Giri, Kedar Ghimire",2023-03-03,0.228,152,1.34
6,Chhakka Panja 5,Comedy,Deepa Shree Niraula,"Deepak Raj Giri, Kedar Ghimire",2024-10-10,0.288,120,1.1
7,Kabaddi Kabaddi Kabaddi,Romantic/Comedy,Ram Babu Gurung,"Dayahang  Rai, Upasana Singh Thakuri",2019-09-20,0.219,115,1.18
8,Shatru Gate,Drama,Pradip Bhattarai,"Hari Bansha Acharya, Madan Krishna Shrestha ",2018-03-23,0.094,125,1.13
9,Mahajatra ,Drama,Pradip Bhattarai,"Hari Bansha Acharya, Bipin Karki  ",2024-03-22,0.187,160,2.03
10,Kohinoor,Drama,Aakash Adhikari ,"Shree Krishna Shrestha, Shweta Khadka",2014-08-08,0.15,138,1.12
11,Boksi ko Ghar,Drama,Sulakshyan Bharati,"Keki Adhikari, Swechchha Raut ",2024-04-26,0.075,109,0.768
12,Dimag Kharab,Comedy,Nischal Basnet,"Khagendra Lamichhane, Dayahang Rai ",2023-11-10,0.3,148,0.757
13,12 Gaun,Action/Drama,Biraj Bhatta ,"Biraj Bhatta, Samir Bhatt",2024-10-10,0.3,147,1.6
14,Prem Geet 3,Romance,Chheetan Gurung & Santosh Sen ,"Pradeep Khadka, Kristina Gurung ",2022-09-23,0.34,130,2.9
15,Chha Maya Chhapakkai,Drama/Comedy,Dipendra Lama ,"Deepak Raj Giri, Kedar Ghimire",2019-10-11,0.132,145,0.832
16,A Mero Hajur 3,Romance,Jharana Thapa ,"Anmol KC, Suhana Thapa ",2019-04-12,0.174,125,0.768
17,Pashupati Prasad 2: Bhasme Don,Comedy,Dipendra k.Khanal,"Bipin Karki, Saugat Malla ",2023-10-21,0.225,147,0.759
18,Loot 2,Action/Comedy, Nischal Basnet," Saugat Malla, Dayahang Rai",2017-02-24,0.149,130,0.987
19,Kri,Drama,Surendra Poudel,"Aditi Budhathoki, Anmol K.C.",2018-02-09,0.259,138,0.63
20,Loot ,Comedy/Action,Nischal Basnet,"Saugat Malla, Karma Shakya ",2012-01-13,0.007,121,0.583
21,A Mero Hajur 4,Romance,Jharana Thapa ,"Anmol KC, Suhana Thapa ",2022-04-14,0.11,138,0.25
22,A Mero Hajur 2,Romance,Jharana Thapa ,"Smjhana Lama, Samragyee RL Shah ",2017-09-01,0.145,138,0.814
