Feature,Importance
vote_score_ratio,0.14062941108441593
votes,0.11543093706846363
budget_per_minute,0.10771603314169532
budget_runtime_ratio,0.08839643060222327
log_budget,0.08687660613377825
votes_per_year,0.08654497084445512
vote_year_ratio,0.07192304884897525
is_high_budget,0.03734403886474739
is_high_votes,0.03520452204759868
budget_vote_ratio,0.027373024361483606
budget_score_ratio,0.026075682955926417
year,0.01980192780292028
budget_year_ratio,0.01778411063662269
rating,0.016852394488820494
genre,0.014679541422281783
score_runtime_ratio,0.014488359140496452
score,0.012571112574875054
runtime,0.012169348771652039
released,0.010669426149076964
company,0.010586679785436877
star,0.009359013828675058
director,0.009267892930353407
writer,0.00892085815471072
name,0.008294366774881124
country,0.0059926671633525695
is_recent,0.00329021823069897
is_high_score,0.0017573761913826842
